trial,reward_function,learning_rate,gamma,batch_size,train_freq,target_update_interval,exploration_fraction,exploration_final_eps,buffer_size,learning_starts,min_green,peso_recompensa,system_mean_waiting_time,system_mean_speed,system_total_stopped
0,diff_waiting_time,1.606694427403884e-05,0.9338320743604352,64,4,378,0.12495975436080596,0.03560277668313836,50000,100,19,0.95,4.62510818603504,7.685395521262292,38.58587257617729
1,diff_waiting_time,0.00014090716532541908,0.9279420906890959,64,4,408,0.15328630542204985,0.1675959060479324,50000,100,17,0.95,6.695336050103662,7.81862164479894,36.46537396121884
2,diff_waiting_time,0.00018700856216441957,0.9924525212234883,64,4,825,0.20770131948353532,0.09749401704702151,50000,100,13,0.95,253.33766435695264,6.480741889830809,67.1398891966759
3,diff_waiting_time,5.950045428142123e-05,0.8651212173150779,64,4,784,0.1339888782129715,0.10502042610161433,50000,100,13,0.95,7.264119523530194,7.471911854135711,43.214681440443215
5,diff_waiting_time,0.00015475960010382793,0.9782156163365817,64,4,933,0.2465666455599403,0.029425578827030105,50000,100,16,0.95,837.4201314724528,1.3252820196610477,844.9224376731302
6,diff_waiting_time,0.0002179913034668828,0.9240546126737519,64,4,943,0.22674107298679924,0.18370358983706894,50000,100,14,0.95,4.054361838290331,7.842216672146621,35.27146814404432
7,diff_waiting_time,7.56102049527203e-05,0.8723623382279329,64,4,451,0.199466796593519,0.062076600344091126,50000,100,12,0.95,197.5769912991159,7.645527502890366,40.52354570637119
8,diff_waiting_time,1.3327675326794804e-05,0.8732945307048312,64,4,391,0.19062090626188694,0.08461018449245293,50000,100,15,0.95,595.5254638671632,2.137646577401983,644.6662049861496
9,diff_waiting_time,0.00022169816260772136,0.9979200286496495,64,4,806,0.1480144927257781,0.10914019080913497,50000,100,15,0.95,590.7996702227528,1.872156063558334,754.0637119113574
10,diff_waiting_time,0.00011664872321810373,0.9883572392814874,64,4,584,0.11438195941055031,0.1152921282701339,50000,100,16,0.95,682.1361604830288,2.244826642410536,548.1911357340721
11,diff_waiting_time,0.0005340696951895447,0.8204442633559119,64,4,114,0.050240263720047404,0.19660116987337403,50000,100,20,0.95,2.5345585034307834,8.090713412795086,31.491689750692522
12,diff_waiting_time,0.0009058059611636607,0.9147220012414361,64,4,106,0.074853737974929,0.19919966592942853,50000,100,20,0.95,2.6423148152804403,8.044602695422727,32.06094182825485
13,diff_waiting_time,0.000934610475696719,0.8189027204736986,64,4,111,0.05374659134660035,0.19808579264436377,50000,100,20,0.95,9.395429520042887,7.2809410728576545,47.86426592797784
14,diff_waiting_time,0.0007712844963106527,0.804140121766191,64,4,105,0.05328580010595334,0.15082683522186888,50000,100,19,0.95,4.410013696789555,7.899889637154531,35.08587257617729
15,diff_waiting_time,0.0005576647901859216,0.8399113375027621,64,4,240,0.08909559459150278,0.15109058826092106,50000,100,10,0.95,1.391125462880987,8.492456715928254,23.149584487534625
16,diff_waiting_time,0.0004308371504222543,0.8388066813229915,64,4,242,0.09131695613366933,0.1441644193502652,50000,100,10,0.95,1.3848375414369336,8.49988987074241,22.99584487534626
17,diff_waiting_time,0.00042365215036330606,0.8493225577792965,64,4,250,0.09619956517443047,0.13771712707961342,50000,100,10,0.95,3.0454540270511794,8.128211237574995,29.63157894736842
18,diff_waiting_time,0.0003738005033518397,0.8422462924080526,64,4,254,0.08735936385062425,0.13695600168449507,50000,100,10,0.95,1.7579284327701983,8.356329661676389,25.570637119113574
19,diff_waiting_time,0.00033137453285522864,0.9011202109736024,64,4,269,0.27630252230161056,0.16274937081594967,50000,100,11,0.95,76.92676180581279,4.113426772978091,257.7673130193906
20,diff_waiting_time,3.0676208646848445e-05,0.8446937973807119,64,4,562,0.166196704509581,0.1305254541212845,50000,100,11,0.95,612.0175245867604,2.203543415922317,689.4182825484764
21,diff_waiting_time,0.0005280446405084026,0.8893552004374046,64,4,297,0.10643242998558822,0.07352630008992944,50000,100,11,0.95,5.1520495663697705,7.937023594076729,31.89612188365651
22,diff_waiting_time,0.00030365237418794453,0.8435063629267817,64,4,218,0.08654966822471473,0.13304567833904324,50000,100,10,0.95,2.9772945757803493,7.563137302795852,38.704986149584485
23,diff_waiting_time,0.0005792786168479619,0.8234408271595576,64,4,205,0.07519880762375232,0.1550020215932227,50000,100,10,0.95,2.0951118398992676,8.285521378974623,26.170360110803323
24,diff_waiting_time,0.00035008785237542915,0.8369647082607056,64,4,309,0.09278305520908141,0.1447565610384851,50000,100,12,0.95,196.40359229759892,7.595044536976338,42.029085872576175
25,diff_waiting_time,0.00027062233113318547,0.8596370548791297,64,4,502,0.11737775203684965,0.17025926336147362,50000,100,10,0.95,390.4011663671732,3.479404988895964,450.0540166204986
26,diff_waiting_time,0.0006374046966239705,0.8004079790643108,64,4,323,0.0763962224064941,0.12407840749818722,50000,100,12,0.95,1.9813673685880584,8.190378225179664,28.67590027700831
27,diff_waiting_time,0.0004404093849207887,0.8303585233027757,64,4,192,0.14005812362671774,0.17923840266279262,50000,100,11,0.95,1.4196516958917174,8.448704018135043,23.60803324099723
28,diff_waiting_time,9.818439807767715e-05,0.8287156512518764,64,4,180,0.18133892657822048,0.17931597068416588,50000,100,11,0.95,434.0561876403983,6.572819085048488,65.3393351800554
29,diff_waiting_time,0.00046811266726539796,0.8824765390850515,64,4,184,0.1399493612638129,0.180570494062098,50000,100,13,0.95,269.39026880158843,3.9000178465268456,421.9515235457064
30,diff_waiting_time,0.0007157131485992029,0.9546611824832174,64,4,375,0.1254824438999013,0.15507247139927702,50000,100,12,0.95,195.9869494991832,7.607743941585017,41.4792243767313
31,diff_waiting_time,2.1667967517015917e-05,0.8097351168696765,64,4,350,0.15427423672852558,0.010282179929590143,50000,100,11,0.95,829.3243036162011,1.2971585120081761,858.5193905817174
32,diff_waiting_time,0.0004254075698098311,0.8527917430533467,64,4,250,0.10314439711284132,0.14393240245724828,50000,100,10,0.95,1.416908381403072,8.442920786966129,24.002770083102494
33,diff_waiting_time,0.00026683723682119354,0.8594638283110003,64,4,174,0.10474842064125527,0.16673431784319437,50000,100,10,0.95,9.413973036526171,7.587248311148138,39.58587257617729
34,diff_waiting_time,0.0004108141161461815,0.8297249994822598,64,4,430,0.12579090756391148,0.12003495483959606,50000,100,11,0.95,1.5806717603622136,8.305025852889557,25.574792243767313
35,diff_waiting_time,0.00018626722167573812,0.8531878759769711,64,4,235,0.17172553383096445,0.14686077996931834,50000,100,12,0.95,172.8564254634991,4.091633934365251,281.7202216066482
36,diff_waiting_time,0.0006975304407103257,0.8141857530266081,64,4,161,0.06962293521542869,0.16308672139875455,50000,100,10,0.95,1.4037030879007604,8.391284903779322,24.502770083102494
37,diff_waiting_time,0.0009767839131078328,0.813690112435113,64,4,343,0.06718243815075932,0.09843427115349757,50000,100,10,0.95,1.393065614169271,8.54691852583044,22.850415512465375
38,diff_waiting_time,0.0007834289209307919,0.8114095858237386,64,4,477,0.07322503807604172,0.051136713557858475,50000,100,10,0.95,1.4097639273975242,8.528243775924002,22.941828254847646
39,diff_waiting_time,0.0009896218839249569,0.8155184527916614,64,4,654,0.0660151786542865,0.09387468880621366,50000,100,13,0.95,1.850475514564204,8.315221502092013,26.901662049861496
40,diff_waiting_time,0.0007077701255610441,0.8335167207658515,64,4,341,0.06801377318938077,0.09761653547118665,50000,100,11,0.95,1.418812079390756,8.353633980871463,24.614958448753463
41,diff_waiting_time,0.0006074879626287518,0.8016268696328887,64,4,385,0.09190185536204488,0.07950172187290865,50000,100,13,0.95,2.147005261506202,8.346012276574383,26.72853185595568
42,diff_waiting_time,0.0007934406787271017,0.8133512403135416,64,4,444,0.06457599563062796,0.05080257182467573,50000,100,10,0.95,1.3937305041947543,8.52919058244918,23.02908587257618
43,diff_waiting_time,0.0008262485150152782,0.8136675682439332,64,4,151,0.06092356056728177,0.03678335619323969,50000,100,10,0.95,1.8158040589699578,8.135766094028424,28.337950138504155
44,diff_waiting_time,0.0005534074070370645,0.8246878484398036,64,4,510,0.08012115881952526,0.04797925574669209,50000,100,12,0.95,8.023853867990365,7.742699218728668,37.30609418282548
45,diff_waiting_time,0.0009675353134422447,0.8373809925671476,64,4,705,0.0648045520072389,0.06526398300836729,50000,100,10,0.95,1.487905592168902,8.542952379080186,23.09141274238227
46,diff_waiting_time,0.0007255672455042716,0.8656669966745824,64,4,290,0.11193478149785496,0.11191968837351679,50000,100,11,0.95,1.417983840658369,8.431657715823704,23.86842105263158
47,diff_waiting_time,0.00021657811229292573,0.8185949112573726,64,4,440,0.05671940619242926,0.09244793180095484,50000,100,10,0.95,2.249360292038139,8.019975169742311,29.969529085872576
48,diff_waiting_time,0.0005285138992048918,0.8093398720714542,64,4,987,0.0889275975223737,0.02093935648309472,50000,100,17,0.95,5.168836140813347,7.417336478737065,43.742382271468145
49,diff_waiting_time,0.000681159635449725,0.8376014234470675,64,4,410,0.2217688404542964,0.10226979336362221,50000,100,11,0.95,1.5541919265918012,8.413931302711141,24.006925207756233
50,diff_waiting_time,0.0004877635950825818,0.8214081624853201,64,4,144,0.050388269568777094,0.1647449127870303,50000,100,14,0.95,5.175896078996057,7.9847246797999185,32.32963988919668
51,diff_waiting_time,4.5599236455486994e-05,0.8715530101394295,64,4,359,0.09793244507590654,0.18915834293168057,50000,100,12,0.95,673.0800279321858,1.9635782775300459,769.0138504155125
52,diff_waiting_time,0.000824374861149259,0.8141654507625266,64,4,483,0.07943462348006519,0.05430423916863286,50000,100,10,0.95,1.4550423644505295,8.489113283743814,23.559556786703602
53,diff_waiting_time,0.0008110234973606276,0.8074855898826738,64,4,564,0.06997237624556825,0.05119288057284284,50000,100,10,0.95,1.470355440668905,8.470996266883605,23.681440443213297
54,diff_waiting_time,0.0006226585893560101,0.8461108368304461,64,4,277,0.29834856164236584,0.04233913031673603,50000,100,10,0.95,1.7578660423549957,8.165758639880947,27.68005540166205
55,diff_waiting_time,0.0009719214274604113,0.8264835135363534,64,4,464,0.08221805542609252,0.02791744221439118,50000,100,11,0.95,1.5456535610288822,8.50219201950888,23.218836565096954
