trial,reward_function,learning_rate,gamma,batch_size,train_freq,target_update_interval,exploration_fraction,exploration_final_eps,buffer_size,learning_starts,min_green,peso_recompensa,system_mean_waiting_time,system_mean_speed,system_total_stopped
0,velocity_time_delta,0.0006868032959566867,0.896079076489156,64,4,570,0.08514918973027095,0.08039721094530923,50000,100,20,0.7841150490060648,6.802804087382593,7.663074972098224,39.646814404432135
1,velocity_time_delta,7.44802004667545e-05,0.8877129694002157,64,4,894,0.12440655417894995,0.14591809110488307,50000,100,20,0.9932595770682053,632.956273347025,3.785836103273699,234.28393351800554
2,velocity_time_delta,3.074971084315906e-05,0.8962466023056364,64,4,328,0.05858717516290825,0.19463016735990643,50000,100,10,0.6221769595823894,1.9488407125986738,8.202796693157653,27.182825484764543
4,velocity_time_delta,0.0005580599731626909,0.8144266690286792,64,4,396,0.07178533071346428,0.07369932588109891,50000,100,20,0.6769312268047256,656.7307156943843,3.635548036762479,239.52354570637118
5,velocity_time_delta,1.4700733347998167e-05,0.8390796151231215,64,4,216,0.2207190357672802,0.055334920056003066,50000,100,18,0.5427437121467165,420.42916968417,2.2446652012229302,667.6869806094182
6,velocity_time_delta,8.701072274488307e-05,0.9552081857844177,64,4,928,0.10274499345194359,0.08604015271939275,50000,100,18,0.9802443570862464,157.71067191643252,5.673509572534391,125.62049861495845
7,velocity_time_delta,0.00047121296558111673,0.9193016779947061,64,4,649,0.2717876754563509,0.17913370127327322,50000,100,16,0.7875416573849958,2.5486264789088984,8.089325184282938,30.626038781163434
8,velocity_time_delta,0.0001171886747511925,0.8652360422267306,64,4,967,0.09261757428365851,0.17546662589697293,50000,100,19,0.7711036341899431,190.78566573141865,7.308450319438475,48.06509695290859
9,velocity_time_delta,0.0003364131153406724,0.8957621446012454,64,4,852,0.19291362392387995,0.04377759185609114,50000,100,13,0.8021103536349086,63.25259252169744,7.230819690125635,49.34349030470914
10,velocity_time_delta,6.898936395800035e-05,0.9482665858298074,64,4,571,0.2540349982459901,0.11384856145322544,50000,100,15,0.9769765895501201,467.4837441648531,3.037736509693723,496.93074792243766
11,velocity_time_delta,1.3380728741924282e-05,0.9803586824207138,64,4,146,0.16101987611436236,0.012257942727561366,50000,100,11,0.5057490051144398,492.57688321826583,2.418256068777526,638.5235457063712
12,velocity_time_delta,3.152041865775997e-05,0.9301134358212605,64,4,649,0.29360390458646024,0.1997496884168699,50000,100,10,0.6440544492503056,392.7351809598283,5.2150335921331346,127.31717451523545
13,velocity_time_delta,0.00022169931128284456,0.9218521794800941,64,4,357,0.14692023819283623,0.15688185415606057,50000,100,15,0.8754190009752014,195.83472858776986,7.416875557299491,45.05263157894737
14,velocity_time_delta,3.7079413066192784e-05,0.8614819956485303,64,4,728,0.053178304245679,0.19508877541513403,50000,100,15,0.6365189002469521,5.718386165136361,7.726270323373674,37.18005540166205
15,velocity_time_delta,0.0001951474546375935,0.994558402372292,64,4,385,0.2947250272338066,0.14974954196467102,50000,100,13,0.7183269254907506,2.5720774190763316,8.035996147017961,32.029085872576175
16,velocity_time_delta,2.9266270500785898e-05,0.9181059403236359,64,4,476,0.2452434004623615,0.17290720253382497,50000,100,12,0.8875471631000735,11.864058896942693,6.872929273091263,57.443213296398895
17,velocity_time_delta,0.000957156547141877,0.869241608638628,64,4,295,0.1850173819584546,0.12516314716370766,50000,100,17,0.594990616471917,41.966011002832765,6.759941623905921,61.84487534626039
18,velocity_time_delta,0.000370666255063439,0.957366333809111,64,4,728,0.25865814694550204,0.17611824036962728,50000,100,16,0.8673162520466329,3.489709124080243,7.861610859376978,34.94459833795014
19,velocity_time_delta,0.0001594633791288225,0.9093269398569432,64,4,120,0.1287771578475244,0.12551359432514392,50000,100,10,0.7222161389903906,188.1267946441712,6.937537775357509,55.375346260387815
20,velocity_time_delta,4.4218833018218663e-05,0.9402360870371155,64,4,783,0.21960619669140707,0.1838109850438946,50000,100,14,0.5803602545185242,259.9528848606772,2.7249044675881597,479.53324099722994
21,velocity_time_delta,1.790704730970299e-05,0.8443584687726119,64,4,481,0.17312388936471018,0.15900710257530032,50000,100,12,0.8206711068918143,773.041913877633,1.4936424661952292,870.0304709141275
22,velocity_time_delta,0.00028994961384113993,0.9933039926689645,64,4,266,0.29445714696982267,0.14378134946762214,50000,100,13,0.7196103358481829,17.961827842446237,7.058302628716102,53.04293628808864
23,velocity_time_delta,0.00056399320741431,0.9727679852450323,64,4,423,0.2746741156268478,0.15214431134871156,50000,100,11,0.7209045312738038,3.3372882538826687,8.040512486899862,30.493074792243767
24,velocity_time_delta,0.0002101088241555235,0.8840264648382197,64,4,586,0.23533460206287313,0.18497624406189647,50000,100,14,0.674955053787877,368.23875434665746,4.76767431634333,181.4487534626039
25,velocity_time_delta,0.0001417911221967105,0.9667913927995314,64,4,346,0.27077441402733476,0.16549592208583114,50000,100,12,0.7481611184931176,193.72083603146535,7.499190865052152,43.68559556786703
26,velocity_time_delta,1.0119931319082154e-05,0.9911670978911433,64,4,212,0.1999655973163288,0.1348843131832413,50000,100,16,0.6120712144599619,90.47826124354059,4.530281823924155,244.6135734072022
27,velocity_time_delta,0.00042297619637919213,0.906777240947895,64,4,472,0.2760651911942131,0.10909801146280174,50000,100,13,0.6846739496206331,23.722446558561618,7.406911394931944,45.541551246537395
28,velocity_time_delta,0.0009891520967239091,0.9305901864052992,64,4,646,0.22665586166267881,0.1901420035350529,50000,100,11,0.8289001869365259,1.6202457494992972,8.37474959942246,24.65927977839335
29,velocity_time_delta,0.0009171074566166669,0.9352391886312669,64,4,642,0.2236610355086744,0.1896824074225909,50000,100,11,0.9172823596237714,1.8826082718370254,8.438031972179626,23.939058171745152
30,velocity_time_delta,0.0009340513400767723,0.9336363217618223,64,4,638,0.11678193548713935,0.1998674851744397,50000,100,11,0.9300444626949457,1.4752667782542515,8.616100768066968,21.97645429362881
31,velocity_time_delta,0.0009226687577623846,0.9301922597838802,64,4,646,0.2102346763839165,0.19790608933480283,50000,100,11,0.9399129129655394,1.4104212624799877,8.681499083295696,21.450138504155124
32,velocity_time_delta,0.0009837332466728606,0.9339575705080373,64,4,646,0.2129096364665351,0.18872588603118395,50000,100,11,0.9399926367566762,1.4123099053189714,8.539261441664285,22.62326869806094
33,velocity_time_delta,0.0007184163941457691,0.9395944369635137,64,4,722,0.20411045567298006,0.19905255812623665,50000,100,11,0.9452200259192088,1.4588358173858753,8.561339146657325,22.513850415512465
34,velocity_time_delta,0.0007070773271496871,0.948086680135666,64,4,735,0.20303104640355996,0.19719066346921674,50000,100,10,0.9355421984481914,1.3986541090768851,8.526891733225535,22.818559556786703
35,velocity_time_delta,0.0006779008958931964,0.9455790235543353,64,4,783,0.2008758634202043,0.16691223654889012,50000,100,10,0.9464843015812534,1.4391844252119208,8.60056256713536,22.49584487534626
36,velocity_time_delta,0.0006625234443963847,0.9508472769748312,64,4,841,0.2111399184652066,0.1670754103861767,50000,100,10,0.9602653671146649,1.4334359214094798,8.511995744438224,23.127423822714682
37,velocity_time_delta,0.0006503228925104683,0.9615820417774785,64,4,857,0.17379668872255916,0.1658099199164435,50000,100,10,0.9953745359040627,1.6022970825681342,8.499548750024056,23.37534626038781
38,velocity_time_delta,0.0004771202835805704,0.9492923286289476,64,4,787,0.21325140914639437,0.1841020375244045,50000,100,12,0.9026437833567305,1.857419589242359,8.340442003686563,26.842105263157894
39,velocity_time_delta,0.0007133310999539875,0.9056632658243257,64,4,994,0.1821289195158165,0.1708170170255851,50000,100,10,0.9585692905850323,1.5052364230884885,8.470981018506736,23.411357340720222
40,velocity_time_delta,0.0005880375986294659,0.9777527819765497,64,4,907,0.20881337987382276,0.14207831532770426,50000,100,12,0.8578904377861395,85.59025999963848,6.643022551065302,67.95567867036011
41,velocity_time_delta,0.00032171206846708545,0.9228800425723257,64,4,530,0.2356109247902128,0.18441426430689262,50000,100,10,0.9726165551577262,1.7689972297404377,8.486990945534721,23.68421052631579
42,velocity_time_delta,0.0007424959402396073,0.9478683912386601,64,4,803,0.1992474506564556,0.16247714490219603,50000,100,10,0.9386889185793674,1.93670721794986,8.356828214733504,25.47645429362881
43,velocity_time_delta,0.0005011498913431258,0.8032655842911166,64,4,698,0.16468310609648956,0.17570839348565667,50000,100,11,0.9036593061514439,1.4703347691022353,8.427900998008415,23.8601108033241
44,velocity_time_delta,0.0007560147685000252,0.9650399316404723,64,4,835,0.1871827601798188,0.16887152024647747,50000,100,10,0.9545638391999477,2.1002844229905495,8.364851613874881,25.365650969529085
