trial,reward_function,learning_rate,gamma,batch_size,train_freq,target_update_interval,exploration_fraction,exploration_final_eps,buffer_size,learning_starts,min_green,peso_recompensa,system_mean_waiting_time,system_mean_speed,system_total_stopped
0,velocity_time,1.2464631479500387e-05,0.9558202398639478,64,4,577,0.10607456372986544,0.033517947224049285,50000,100,20,0.5128697671102711,443.7422582554202,2.2469627936990717,604.1703601108034
1,velocity_time,4.706741953481064e-05,0.9297014724631021,64,4,115,0.1469027651185988,0.15425660420691562,50000,100,17,0.6719238563699393,880.0109905463306,1.158996947170198,954.0692520775623
3,velocity_time,0.0005687134136727231,0.9468240257902659,64,4,468,0.07801903239406764,0.07623802676864988,50000,100,13,0.982556997483031,986.5446201989756,0.7603632850190323,1107.893351800554
4,velocity_time,0.00019235259234700417,0.9165898472246004,64,4,720,0.17619179253560024,0.13536326780043106,50000,100,12,0.6022118354351089,1011.4938303769238,0.7595675161056854,1082.5706371191136
5,velocity_time,2.0101703386415542e-05,0.9072827682027356,64,4,932,0.19871462822234393,0.07506807827382182,50000,100,14,0.9062625990435127,696.1136325396974,1.5691928108852145,794.7271468144045
6,velocity_time,3.200870054365172e-05,0.9537237921011243,64,4,415,0.09658723551259503,0.15026958585897818,50000,100,10,0.5544804640071669,495.4634563281266,4.983381518469771,133.69113573407202
7,velocity_time,0.0007438389813024717,0.8584295865761219,64,4,401,0.16500025076389196,0.04382434038164923,50000,100,19,0.9768956117603772,853.282856218728,0.9435198877611618,1016.5249307479224
8,velocity_time,0.00026079165447574207,0.8776190756839085,64,4,178,0.17319017920315094,0.13715276372041593,50000,100,11,0.5255542837779755,964.7082957127764,0.8676588845656178,1030.865650969529
9,velocity_time,0.00013908132173167032,0.8534831706184205,64,4,943,0.06756514584456831,0.10068213653299486,50000,100,16,0.9666885157890441,934.1288360589108,0.8872510278171112,1085.3518005540166
10,velocity_time,0.0008448979852810562,0.8303367295549287,64,4,404,0.1607926687324192,0.01951279665920968,50000,100,19,0.8835554540604788,890.0398076014317,0.8899390965362003,1007.2797783933518
11,velocity_time,1.0343546540305869e-05,0.997983994047628,64,4,663,0.27301912399108896,0.17953844293706867,50000,100,15,0.7589607860230883,818.7674578459462,1.1689762623728133,961.0484764542937
12,velocity_time,2.693836021175675e-05,0.9709914426293478,64,4,583,0.10679279242626179,0.1872017560115887,50000,100,17,0.517388471474558,894.4392622072952,1.0110040356241792,973.8240997229917
13,velocity_time,5.771813627775801e-05,0.9651959093613661,64,4,304,0.10858611010232844,0.09972560659060484,50000,100,20,0.6089294473282226,953.4937954669358,0.8594648612693807,983.1772853185596
14,velocity_time,1.175428459599418e-05,0.9961459272453385,64,4,544,0.10985155295834909,0.01482086198336086,50000,100,10,0.5838687895910147,800.7291170383983,1.2960408110518367,932.2105263157895
15,velocity_time,4.93265157654144e-05,0.8957482963390121,64,4,742,0.0500390284387301,0.049431245028118145,50000,100,10,0.7061823938727996,624.1711705497224,1.4003850928358894,877.3171745152355
16,velocity_time,2.2558185707109633e-05,0.944864789395784,64,4,248,0.21909671773968303,0.11072418440027865,50000,100,13,0.5074149271604151,570.2088982879507,2.304448080082453,707.9819944598338
17,velocity_time,7.484362648357788e-05,0.9704957702518949,64,4,805,0.13122835985594714,0.1625783615645277,50000,100,18,0.6644514062836308,963.0220227674231,0.7676147104872033,1090.6329639889198
18,velocity_time,1.6433979222549092e-05,0.9406405352874991,64,4,561,0.08378783178369466,0.05496913747426152,50000,100,15,0.5682661862330354,660.4247504623115,1.957216139544857,674.5581717451523
19,velocity_time,3.276770661155203e-05,0.972084556242433,64,4,331,0.12032860269420548,0.19943083504451206,50000,100,20,0.7364477995503558,867.1204122338464,1.0579200311223813,1024.825484764543
20,velocity_time,9.860983035788012e-05,0.8044652802925985,64,4,476,0.24753077349239122,0.12687259537786488,50000,100,12,0.634925201083024,1026.8450687337504,0.6865234465847294,1069.4321329639888
21,velocity_time,1.5241929235015036e-05,0.9218414117590229,64,4,842,0.09139514116542173,0.07224871932324597,50000,100,16,0.5545564854648561,652.2184385182354,1.8726298694169783,761.2216066481994
22,velocity_time,2.768992332406237e-05,0.9438334384304368,64,4,244,0.21270806915294566,0.11132270477218438,50000,100,13,0.5188659310202195,877.1660733841682,1.1654518973613488,838.3573407202216
23,velocity_time,2.1860759219563022e-05,0.9513716418240251,64,4,262,0.2888438199071098,0.1527010739281506,50000,100,11,0.5066146185541265,711.1873121837729,1.646432444512535,693.9847645429363
