step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,2713455438_stopped,2713455438_accumulated_waiting_time,2713455438_average_speed,370205755_stopped,370205755_accumulated_waiting_time,370205755_average_speed,cluster_2713455439_370205651_370205726_stopped,cluster_2713455439_370205651_370205726_accumulated_waiting_time,cluster_2713455439_370205651_370205726_average_speed,cluster_2713455440_370205753_370205754_stopped,cluster_2713455440_370205753_370205754_accumulated_waiting_time,cluster_2713455440_370205753_370205754_average_speed,cluster_2713455441_492430579_492643882_stopped,cluster_2713455441_492430579_492643882_accumulated_waiting_time,cluster_2713455441_492430579_492643882_average_speed,cluster_370205730_370205735_5216485104_5216485107_#2more_stopped,cluster_370205730_370205735_5216485104_5216485107_#2more_accumulated_waiting_time,cluster_370205730_370205735_5216485104_5216485107_#2more_average_speed,cluster_4150407559_4150407560_491542284_492430582_#1more_stopped,cluster_4150407559_4150407560_491542284_492430582_#1more_accumulated_waiting_time,cluster_4150407559_4150407560_491542284_492430582_#1more_average_speed,joinedS_492643878_492643880_stopped,joinedS_492643878_492643880_accumulated_waiting_time,joinedS_492643878_492643880_average_speed,joinedS_492643897_541338683_stopped,joinedS_492643897_541338683_accumulated_waiting_time,joinedS_492643897_541338683_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,12.70332677941926,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9513258675408823,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9619698959335548,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,12.631526660444747,0,0.0,1.0,0,0.0,0.967075168510872,0,0.0,0.954082446862984,0,0.0,1.0,0,0.0,0.9820932500689263,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9622174168685427,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,12.859804375097383,0,0.0,0.46378976688140355,0,0.0,0.986895437918688,0,0.0,0.9842804907670356,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9621552689138975,0,0.0,1.0,0,0.0,0.9319342787206336,0,0.0,1.0,0,0.0
20.0,0,0.0,0.0,10.42962829377626,0,0.0,0.7507586695750117,0,0.0,0.8775445831670654,0,0.0,0.9305766731498812,0,0.0,0.9706049649789991,0,0.0,1.0,0,0.0,0.942364646148156,0,0.0,0.9711222235179104,0,0.0,0.6303168210288531,0,0.0,0.751494787786892,0,0.0
25.0,1,1.0,0.034482758620689655,10.734755557927938,0,0.0,1.0,0,0.0,0.9817572672185867,0,0.0,0.9513633038967022,0,0.0,0.9788389274400716,0,0.0,0.5040485255909621,0,0.0,1.0,0,0.0,0.38061083465594175,1,1.0,0.6206149252843244,0,0.0,0.9556839656892027,1,1.0
30.0,1,6.0,0.17647058823529413,11.432363979657929,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9724392894399884,0,0.0,0.9464196768380305,0,0.0,0.9585772397306916,0,0.0,1.0,0,0.0,0.7029338337632571,1,5.0,0.7817624947237659,0,0.0,0.6257263282632761,1,5.0
35.0,4,17.0,0.425,10.173385368137968,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9552830795970061,1,1.0,0.15759306992879618,0,0.0,0.6999982908042064,0,0.0,1.0,0,0.0,0.6604768042072288,1,5.0,0.6574956979715777,1,4.0,0.5903372736271564,3,10.0
40.0,6,42.0,0.9545454545454546,9.510883076259695,0,0.0,0.9488332567282773,0,0.0,1.0,0,0.0,0.7887430360672265,2,10.0,0.07530342813946443,0,0.0,0.8502296234125319,0,0.0,1.0,0,0.0,0.46566149500310566,1,10.0,0.640076397701192,2,11.0,0.3606085305194158,5,31.0
45.0,12,80.0,1.6326530612244898,8.41810072899644,0,0.0,0.30477159419624117,0,0.0,1.0,1,4.0,0.5881525674495093,3,24.0,3.6361029255848137e-06,0,0.0,0.7397533473150484,0,0.0,1.0,1,1.0,0.4794992633233814,1,15.0,0.23591434286603205,5,28.0,0.26978588124381886,11,72.0
50.0,15,146.0,2.6545454545454548,7.980142940027524,0,0.0,1.0,0,0.0,1.0,2,14.0,0.32127009604545764,3,39.0,0.20883144910712445,1,3.0,0.5990051501667144,0,0.0,1.0,1,6.0,0.25589455879428064,2,22.0,1.0535372119524298e-05,5,49.0,0.27101637764533326,14,133.0
