step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,2713455438_stopped,2713455438_accumulated_waiting_time,2713455438_average_speed,370205755_stopped,370205755_accumulated_waiting_time,370205755_average_speed,cluster_2713455439_370205651_370205726_stopped,cluster_2713455439_370205651_370205726_accumulated_waiting_time,cluster_2713455439_370205651_370205726_average_speed,cluster_2713455440_370205753_370205754_stopped,cluster_2713455440_370205753_370205754_accumulated_waiting_time,cluster_2713455440_370205753_370205754_average_speed,cluster_2713455441_492430579_492643882_stopped,cluster_2713455441_492430579_492643882_accumulated_waiting_time,cluster_2713455441_492430579_492643882_average_speed,cluster_370205730_370205735_5216485104_5216485107_#2more_stopped,cluster_370205730_370205735_5216485104_5216485107_#2more_accumulated_waiting_time,cluster_370205730_370205735_5216485104_5216485107_#2more_average_speed,cluster_4150407559_4150407560_491542284_492430582_#1more_stopped,cluster_4150407559_4150407560_491542284_492430582_#1more_accumulated_waiting_time,cluster_4150407559_4150407560_491542284_492430582_#1more_average_speed,joinedS_492643878_492643880_stopped,joinedS_492643878_492643880_accumulated_waiting_time,joinedS_492643878_492643880_average_speed,joinedS_492643897_541338683_stopped,joinedS_492643897_541338683_accumulated_waiting_time,joinedS_492643897_541338683_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,13.628269698380342,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9372119185642594,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9601634832503428,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,12.819121259735285,0,0.0,1.0,0,0.0,0.9850481360367439,0,0.0,0.9280061220745867,0,0.0,1.0,0,0.0,0.9296087790940388,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9688206393801743,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,12.267917768939324,0,0.0,0.42848215989354527,0,0.0,0.940761630034844,0,0.0,0.9247108575489223,0,0.0,0.9823907857331076,0,0.0,1.0,0,0.0,0.9407571748362498,0,0.0,1.0,0,0.0,0.9245180733584833,0,0.0,1.0,0,0.0
20.0,2,4.0,0.17391304347826086,8.90355454733516,1,2.0,0.3384455261797312,0,0.0,0.5754753006375495,0,0.0,0.9470824775165401,0,0.0,0.9192149866171329,0,0.0,1.0,0,0.0,0.9335833378272168,0,0.0,0.9512752161067809,1,2.0,0.2926983599547696,0,0.0,0.6995257017554662,2,4.0
25.0,1,4.0,0.13793103448275862,8.715883895860005,0,0.0,0.2744528890293034,0,0.0,0.9184995179906114,0,0.0,0.9449107106989888,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.3713086167628191,1,4.0,0.544585000005981,0,0.0,0.9000295196621819,1,4.0
30.0,2,13.0,0.38235294117647056,11.053886877392685,1,4.0,1.2706121150991843e-05,0,0.0,1.0,0,0.0,0.9414199926644831,0,0.0,0.8835845084059398,0,4.0,0.541011622160761,0,0.0,1.0,0,0.0,0.7343320634695313,1,5.0,0.7434470785530506,0,2.0,0.9609281449346169,2,15.0
35.0,3,26.0,0.65,9.781096451281808,1,9.0,0.0,0,0.0,1.0,0,0.0,0.9462338168102461,0,0.0,0.24328700176114867,0,0.0,0.9483657613567147,0,0.0,1.0,0,0.0,0.3512002650179716,1,5.0,0.6679621931220648,0,2.0,0.8276665558922612,2,16.0
40.0,4,40.0,0.8888888888888888,9.853917443030168,1,14.0,0.4915482923873888,0,0.0,1.0,0,0.0,0.7104365032474637,2,7.0,0.004110575286780172,0,0.0,0.6305436817423692,0,0.0,1.0,0,0.0,0.46222914652355807,1,10.0,0.7187368771208427,0,2.0,0.8573428929813521,4,33.0
45.0,5,65.0,1.3,9.566494141378108,1,19.0,0.2300460255589448,0,0.0,1.0,0,0.0,0.9316445021037107,3,22.0,0.0,0,0.0,0.7130524039856883,0,0.0,1.0,0,0.0,0.4934115510008519,1,15.0,0.5420045069220973,0,6.0,0.6678956649573403,5,62.0
50.0,9,103.0,1.8727272727272728,9.438331131719371,1,24.0,0.0,0,0.0,0.9348293404401089,0,0.0,0.9734630114277583,3,37.0,0.0,1,2.0,0.7495832607083065,0,0.0,1.0,1,5.0,0.23745341100083198,2,21.0,0.4092223809023058,1,11.0,0.7426295075117559,9,100.0
55.0,10,151.0,2.4754098360655736,7.912787308029963,1,29.0,0.1338904382960639,0,0.0,0.9445136368688927,0,0.0,0.9273866921861658,3,52.0,0.26859693644202964,1,7.0,0.37938954335302444,0,0.0,1.0,2,13.0,0.02742168443108746,2,31.0,0.4479306921291106,1,12.0,0.4006112599174807,10,144.0
60.0,16,223.0,3.378787878787879,7.579435311894714,1,34.0,0.36994646880090737,0,0.0,0.9712810696332214,0,0.0,0.955224292989957,4,71.0,0.27285919373779727,3,17.0,0.1292733541321439,0,0.0,1.0,3,28.0,0.3366175555787366,2,41.0,0.5119497073276633,3,25.0,0.20185026588158816,16,216.0
