step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,2713455438_stopped,2713455438_accumulated_waiting_time,2713455438_average_speed,370205755_stopped,370205755_accumulated_waiting_time,370205755_average_speed,cluster_2713455439_370205651_370205726_stopped,cluster_2713455439_370205651_370205726_accumulated_waiting_time,cluster_2713455439_370205651_370205726_average_speed,cluster_2713455440_370205753_370205754_stopped,cluster_2713455440_370205753_370205754_accumulated_waiting_time,cluster_2713455440_370205753_370205754_average_speed,cluster_2713455441_492430579_492643882_stopped,cluster_2713455441_492430579_492643882_accumulated_waiting_time,cluster_2713455441_492430579_492643882_average_speed,cluster_370205730_370205735_5216485104_5216485107_#2more_stopped,cluster_370205730_370205735_5216485104_5216485107_#2more_accumulated_waiting_time,cluster_370205730_370205735_5216485104_5216485107_#2more_average_speed,cluster_4150407559_4150407560_491542284_492430582_#1more_stopped,cluster_4150407559_4150407560_491542284_492430582_#1more_accumulated_waiting_time,cluster_4150407559_4150407560_491542284_492430582_#1more_average_speed,joinedS_492643878_492643880_stopped,joinedS_492643878_492643880_accumulated_waiting_time,joinedS_492643878_492643880_average_speed,joinedS_492643897_541338683_stopped,joinedS_492643897_541338683_accumulated_waiting_time,joinedS_492643897_541338683_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,14.230375337242197,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9360157986381589,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8861546219570572,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,13.216056232801975,0,0.0,1.0,0,0.0,0.998723972236338,0,0.0,0.9433009262085975,0,0.0,1.0,0,0.0,0.9898879624780177,0,0.0,1.0,0,0.0,1.0,0,0.0,0.944084141703812,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,12.611208844172893,0,0.0,0.4687508321694759,0,0.0,0.9909315474131425,0,0.0,0.9884257157030244,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9503464709532453,0,0.0,1.0,0,0.0,0.6543189828782862,0,0.0,1.0,0,0.0
20.0,2,4.0,0.17391304347826086,9.246022032960054,0,0.0,0.4116820710888794,0,0.0,0.8197293666477545,0,0.0,0.9383226399613402,0,0.0,0.9040610941709317,0,0.0,1.0,0,0.0,0.945655545760742,0,0.0,0.9701150308510842,2,4.0,0.23045605595360089,0,0.0,0.9198486144827979,2,4.0
25.0,4,19.0,0.6551724137931034,9.6874030295376,1,3.0,0.00025430900758981634,0,0.0,0.9596089322533367,0,0.0,0.9267003254976713,0,0.0,0.9958998312878315,0,0.0,1.0,0,0.0,1.0,0,0.0,0.47928489158839677,3,16.0,0.29086390295185716,0,0.0,0.985374334289792,4,19.0
30.0,4,39.0,1.1470588235294117,10.057367987029586,1,8.0,0.0,0,0.0,1.0,0,0.0,0.9568733510865431,0,0.0,0.4653577756004187,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6529462337255254,3,25.0,0.5392467301253789,0,0.0,0.5936793113164458,4,33.0
35.0,5,49.0,1.225,9.14380196721468,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9566394273060836,0,0.0,0.24048684364490414,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9443515541934183,4,36.0,0.40698026794593206,0,0.0,0.8115177446931414,4,36.0
40.0,8,87.0,1.9333333333333333,8.450752910266528,0,4.0,0.6472857719313753,0,0.0,1.0,0,0.0,0.9077619734044035,2,9.0,0.04741838040145934,0,0.0,1.0,0,0.0,1.0,0,0.0,0.22508831449992464,5,60.0,0.27914147915109133,0,1.0,0.893469273077967,7,74.0
45.0,12,132.0,2.693877551020408,8.408816399421626,0,0.0,0.46711823944003694,0,0.0,1.0,0,0.0,0.9653743429661168,3,23.0,0.0,0,0.0,0.9989786876552709,0,0.0,1.0,1,4.0,0.4822244126190155,6,89.0,0.21962055474139736,1,3.0,0.5254257343369997,11,119.0
50.0,12,161.0,2.9272727272727272,8.785988114908807,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9637165040546612,1,9.0,0.4231887630627121,0,0.0,0.9425666361910744,0,0.0,1.0,0,0.0,0.790687638628292,7,120.0,0.05312105863963108,3,13.0,0.46321371729570937,11,142.0
