step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,2713455438_stopped,2713455438_accumulated_waiting_time,2713455438_average_speed,370205755_stopped,370205755_accumulated_waiting_time,370205755_average_speed,cluster_2713455439_370205651_370205726_stopped,cluster_2713455439_370205651_370205726_accumulated_waiting_time,cluster_2713455439_370205651_370205726_average_speed,cluster_2713455440_370205753_370205754_stopped,cluster_2713455440_370205753_370205754_accumulated_waiting_time,cluster_2713455440_370205753_370205754_average_speed,cluster_2713455441_492430579_492643882_stopped,cluster_2713455441_492430579_492643882_accumulated_waiting_time,cluster_2713455441_492430579_492643882_average_speed,cluster_370205730_370205735_5216485104_5216485107_#2more_stopped,cluster_370205730_370205735_5216485104_5216485107_#2more_accumulated_waiting_time,cluster_370205730_370205735_5216485104_5216485107_#2more_average_speed,cluster_4150407559_4150407560_491542284_492430582_#1more_stopped,cluster_4150407559_4150407560_491542284_492430582_#1more_accumulated_waiting_time,cluster_4150407559_4150407560_491542284_492430582_#1more_average_speed,joinedS_492643878_492643880_stopped,joinedS_492643878_492643880_accumulated_waiting_time,joinedS_492643878_492643880_average_speed,joinedS_492643897_541338683_stopped,joinedS_492643897_541338683_accumulated_waiting_time,joinedS_492643897_541338683_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,13.833980557723473,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9450268620102565,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9555110706238986,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,12.025452806845378,0,0.0,1.0,0,0.0,0.95378179522364,0,0.0,0.9356821956514774,0,0.0,1.0,0,0.0,0.9888685471296812,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9467970534976473,0,0.0,1.0,0,0.0
15.0,1,1.0,0.058823529411764705,11.994852272192547,0,0.0,0.4515872011990259,0,0.0,0.9640392149617055,0,0.0,0.9307717861410796,0,0.0,1.0,0,0.0,0.9450268620102565,0,0.0,0.9558138599714828,0,0.0,1.0,1,1.0,0.6494786499628374,0,0.0,1.0,1,1.0
20.0,1,6.0,0.2608695652173913,10.321012275422323,0,0.0,0.6798359790635894,0,0.0,0.7293143565227479,0,0.0,0.9781928037147476,0,0.0,0.9016427302919687,0,0.0,1.0,0,0.0,0.9910527949970672,0,0.0,0.9952241749008409,1,6.0,0.47502268802331327,0,0.0,0.7714237733126424,1,6.0
25.0,2,14.0,0.4827586206896552,10.492296010088802,0,0.0,0.41794726019332284,0,0.0,0.9269113225599426,0,0.0,0.9567823207226531,0,0.0,0.9664234873766684,0,0.0,0.9570483822298396,0,0.0,1.0,0,0.0,0.2764986541368537,2,14.0,0.4186596519000606,0,0.0,0.9609003328606112,2,14.0
30.0,4,28.0,0.8235294117647058,10.621055781414988,1,3.0,0.00044081677165669223,0,0.0,1.0,0,0.0,0.9742982549337875,0,0.0,0.5148812658555233,0,0.0,0.9509625360682593,0,0.0,1.0,0,0.0,0.6628921971448514,2,24.0,0.6298056078674402,1,1.0,0.4934925125160029,4,28.0
35.0,7,54.0,1.35,9.431907293025839,1,8.0,0.0,0,0.0,1.0,0,0.0,0.8353116831610031,2,3.0,0.17670363385551188,0,0.0,0.9932299050739514,0,0.0,1.0,0,0.0,0.7429475492357237,2,34.0,0.46177521620123474,1,6.0,0.6103664260489136,6,51.0
40.0,9,87.0,1.9772727272727273,8.213561668445463,1,13.0,0.0,0,0.0,1.0,0,0.0,0.8220989959735071,2,12.0,0.2452720079565717,0,0.0,0.13081047041383892,0,0.0,1.0,1,1.0,0.0013643349855897722,4,50.0,0.20620976188120932,1,11.0,0.5160826837591415,9,87.0
45.0,14,147.0,3.0,8.084902575160394,1,18.0,0.48603174586596876,0,0.0,1.0,0,0.0,0.8542948728122846,3,25.0,1.883252024794363e-05,1,3.0,0.46873808823773716,0,0.0,1.0,1,6.0,0.5142307250070411,5,73.0,0.10654997907001772,3,22.0,0.4864098974535142,14,147.0
50.0,15,209.0,3.8,7.6984819757504726,1,23.0,0.011451078440388356,0,0.0,1.0,0,0.0,0.9032754402897963,3,40.0,0.0,1,8.0,0.46094391551823016,0,0.0,1.0,1,1.0,0.5929229162932529,5,98.0,0.0,4,39.0,0.41250330571714955,15,209.0
55.0,17,277.0,4.616666666666666,7.096447417619187,2,32.0,0.0914964975786815,0,0.0,1.0,0,0.0,0.7994047840557643,3,55.0,0.302868214294558,0,0.0,1.0,0,0.0,0.9355598175839752,2,7.0,0.5291749795113212,5,123.0,0.27446544227447806,5,60.0,0.14179238293154975,17,277.0
60.0,20,372.0,5.552238805970149,7.76950454429201,2,42.0,0.3216246051661885,0,0.0,0.9736008188446403,0,4.0,0.9615510373150475,4,73.0,0.2857339693784205,0,0.0,1.0,0,0.0,1.0,3,19.0,0.23814499138561496,5,148.0,0.278820642014037,6,90.0,0.18298147873869086,20,376.0
