step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,2713455438_stopped,2713455438_accumulated_waiting_time,2713455438_average_speed,370205755_stopped,370205755_accumulated_waiting_time,370205755_average_speed,cluster_2713455439_370205651_370205726_stopped,cluster_2713455439_370205651_370205726_accumulated_waiting_time,cluster_2713455439_370205651_370205726_average_speed,cluster_2713455440_370205753_370205754_stopped,cluster_2713455440_370205753_370205754_accumulated_waiting_time,cluster_2713455440_370205753_370205754_average_speed,cluster_2713455441_492430579_492643882_stopped,cluster_2713455441_492430579_492643882_accumulated_waiting_time,cluster_2713455441_492430579_492643882_average_speed,cluster_370205730_370205735_5216485104_5216485107_#2more_stopped,cluster_370205730_370205735_5216485104_5216485107_#2more_accumulated_waiting_time,cluster_370205730_370205735_5216485104_5216485107_#2more_average_speed,cluster_4150407559_4150407560_491542284_492430582_#1more_stopped,cluster_4150407559_4150407560_491542284_492430582_#1more_accumulated_waiting_time,cluster_4150407559_4150407560_491542284_492430582_#1more_average_speed,joinedS_492643878_492643880_stopped,joinedS_492643878_492643880_accumulated_waiting_time,joinedS_492643878_492643880_average_speed,joinedS_492643897_541338683_stopped,joinedS_492643897_541338683_accumulated_waiting_time,joinedS_492643897_541338683_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,13.641990033836592,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9948540276903662,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9580270343298812,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,12.275764189481208,0,0.0,1.0,0,0.0,0.9525932563384155,0,0.0,0.993566055545267,0,0.0,1.0,0,0.0,0.9421401346864429,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9261619077175908,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,12.718698260416387,0,0.0,0.3879002850159759,0,0.0,0.9517019568012928,0,0.0,0.949668054564595,0,0.0,0.9564198004202766,0,0.0,1.0,0,0.0,0.9959853827868967,0,0.0,1.0,0,0.0,0.7489405864708748,0,0.0,1.0,0,0.0
20.0,3,6.0,0.2608695652173913,9.91568271474691,1,1.0,0.35296584986388735,0,0.0,0.8188698109450144,0,0.0,0.9958083788177249,0,0.0,0.9683977200265653,0,0.0,1.0,0,0.0,1.0,0,0.0,0.978779591665787,2,5.0,0.31541877745290964,0,0.0,0.6723445677876306,3,6.0
25.0,1,2.0,0.06896551724137931,8.413722600057191,0,0.0,1.0,0,0.0,0.9526490854153501,0,0.0,0.949668054564595,0,0.0,0.4239715784701835,0,0.0,1.0,0,0.0,1.0,0,0.0,0.3878828153032488,1,2.0,0.5233592649839459,0,0.0,0.8680017655096869,1,2.0
30.0,2,10.0,0.29411764705882354,10.832484804361199,0,0.0,0.26566966532948055,0,0.0,1.0,0,0.0,0.9427010206731004,1,3.0,0.4469551699774827,0,4.0,0.5227409272313709,0,0.0,1.0,0,0.0,0.6668217108708258,1,7.0,0.694495460196178,0,4.0,0.7978573867437332,2,18.0
35.0,3,22.0,0.5641025641025641,11.171632134346307,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9441629593735225,1,8.0,0.5,0,0.0,0.9245870267586074,0,0.0,1.0,0,0.0,0.7138695735109057,1,5.0,0.6997720705693914,0,4.0,0.8536569478235592,2,17.0
40.0,2,30.0,0.6976744186046512,10.25717245790584,0,0.0,0.9761795767555306,0,0.0,1.0,0,0.0,0.7219928829634882,1,5.0,0.0,0,0.0,0.7506397061215324,0,0.0,1.0,0,0.0,1.0,1,10.0,0.6873414595118857,0,4.0,0.7520985041946665,2,19.0
45.0,3,5.0,0.1,9.989568747593108,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9467063995303775,0,0.0,0.9633404590661052,0,0.0,0.8327203010547796,0,0.0,1.0,0,0.0,0.9555341452223738,1,1.0,0.47770686722657457,1,11.0,0.6596067869838891,2,12.0
50.0,3,20.0,0.37037037037037035,10.55520650461611,0,0.0,1.0,0,0.0,0.9235941983174915,0,0.0,0.9632901170532929,0,0.0,0.5103865938497762,0,0.0,0.9166016123386883,0,0.0,1.0,0,0.0,0.7349185862004101,1,6.0,0.6466614237427805,1,16.0,0.5228679830804461,2,22.0
