step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,2713455438_stopped,2713455438_accumulated_waiting_time,2713455438_average_speed,370205755_stopped,370205755_accumulated_waiting_time,370205755_average_speed,cluster_2713455439_370205651_370205726_stopped,cluster_2713455439_370205651_370205726_accumulated_waiting_time,cluster_2713455439_370205651_370205726_average_speed,cluster_2713455440_370205753_370205754_stopped,cluster_2713455440_370205753_370205754_accumulated_waiting_time,cluster_2713455440_370205753_370205754_average_speed,cluster_2713455441_492430579_492643882_stopped,cluster_2713455441_492430579_492643882_accumulated_waiting_time,cluster_2713455441_492430579_492643882_average_speed,cluster_370205730_370205735_5216485104_5216485107_#2more_stopped,cluster_370205730_370205735_5216485104_5216485107_#2more_accumulated_waiting_time,cluster_370205730_370205735_5216485104_5216485107_#2more_average_speed,cluster_4150407559_4150407560_491542284_492430582_#1more_stopped,cluster_4150407559_4150407560_491542284_492430582_#1more_accumulated_waiting_time,cluster_4150407559_4150407560_491542284_492430582_#1more_average_speed,joinedS_492643878_492643880_stopped,joinedS_492643878_492643880_accumulated_waiting_time,joinedS_492643878_492643880_average_speed,joinedS_492643897_541338683_stopped,joinedS_492643897_541338683_accumulated_waiting_time,joinedS_492643897_541338683_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,14.254880908881926,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9835901884929743,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9319656756427366,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,13.40875593634229,0,0.0,1.0,0,0.0,0.9335984594825225,0,0.0,0.9815317107988418,0,0.0,1.0,0,0.0,0.9292853500945862,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9833548474783553,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,12.094965458299026,0,0.0,0.3837167592668844,0,0.0,0.949889999283061,0,0.0,0.9365654479562282,0,0.0,0.9169862185879317,0,0.0,1.0,0,0.0,0.9846066584822781,0,0.0,1.0,0,0.0,0.8654666793665071,0,0.0,1.0,0,0.0
20.0,2,3.0,0.13043478260869565,9.424276583350029,1,1.0,0.37428362122110304,0,0.0,0.9137167983858647,0,0.0,0.9442946448199504,0,0.0,0.9169862185879317,0,0.0,1.0,0,0.0,0.9336656148771648,0,0.0,0.9941384343098434,1,2.0,0.4183883185866732,0,0.0,0.6093816557835167,2,3.0
25.0,2,9.0,0.3103448275862069,9.811534663807697,0,0.0,0.08356754481711921,0,0.0,0.9247575000284621,0,0.0,0.913060632394108,0,0.0,0.9481559509043185,0,0.0,0.6198649788178948,0,0.0,1.0,0,0.0,0.38667123679651044,2,9.0,0.47029719294860955,0,0.0,0.8854209485750089,2,9.0
30.0,3,23.0,0.6571428571428571,10.80445937725292,1,4.0,0.0,0,0.0,0.925999406497509,0,0.0,0.948383072116437,0,0.0,1.0,0,0.0,0.9883069020451621,0,0.0,1.0,0,0.0,0.679697519416397,2,19.0,0.6338118050144889,0,0.0,0.8898611377629947,3,23.0
35.0,3,13.0,0.325,10.16609006409783,1,9.0,0.0,0,0.0,1.0,0,0.0,0.9544226990637658,0,0.0,0.944733112895607,0,0.0,0.9764303865872145,0,0.0,1.0,0,0.0,0.6362485665959425,1,2.0,0.5475322508159574,1,2.0,0.5954984288333093,3,13.0
40.0,1,7.0,0.16279069767441862,10.655556664296212,0,0.0,0.9874284862608494,0,0.0,1.0,0,0.0,0.932690636634703,0,0.0,1.0,0,4.0,0.4441980270878956,0,0.0,1.0,0,0.0,1.0,0,0.0,0.6447690749624931,1,11.0,0.4911734854021595,1,15.0
45.0,3,20.0,0.4,10.218001313042981,0,4.0,0.3071050592110771,0,0.0,1.0,0,0.0,0.9530965630687677,0,0.0,0.920699747748016,0,0.0,0.6975999853401736,0,0.0,1.0,0,0.0,0.9583284745813386,0,0.0,0.2297602972315854,3,24.0,0.45162064228443655,3,28.0
50.0,3,12.0,0.2222222222222222,10.316919369665069,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9872359585419248,0,0.0,1.0,0,0.0,0.8503847376539808,0,0.0,1.0,0,0.0,0.6702726239071098,1,3.0,8.317784481519478e-05,1,16.0,0.6269054043343196,2,19.0
