trial,reward_function,learning_rate,gamma,n_steps,batch_size,ent_coef,min_green,peso_recompensa,system_mean_waiting_time,system_mean_speed,system_total_stopped
0,diff_waiting_time,0.0008577096188947487,0.9829434988615993,1024,64,0.00483208232606194,18,0.95,663.5259226272796,1.9949767049537883,710.4598337950139
1,diff_waiting_time,0.0003071138451311728,0.8758072873127998,1024,64,5.833651865077301e-06,20,0.95,4.369894758714688,8.014071238692484,33.19390581717452
2,diff_waiting_time,2.754874204893038e-05,0.8571740506113443,1024,64,1.0413842973368469e-07,19,0.95,890.5364546158787,2.402335240839561,362.7686980609418
3,diff_waiting_time,0.0006674408204254441,0.9918159265017141,1024,64,6.5951694791372e-07,13,0.95,345.87107523673745,6.397522707096192,74.19806094182826
4,diff_waiting_time,2.0133562461057065e-05,0.9942110165934264,1024,64,4.106222923404007e-05,18,0.95,859.8955626426155,1.3898344265790454,749.9570637119114
6,diff_waiting_time,0.0007544659436032481,0.9672921004935551,1024,64,1.8296495621418973e-06,14,0.95,2.610806854754505,8.200288115450046,29.008310249307478
7,diff_waiting_time,2.7093153053575672e-05,0.8663856339944122,1024,64,1.184076646734792e-07,20,0.95,910.954790532826,2.446716575272918,355.0498614958449
8,diff_waiting_time,3.6215029137788846e-05,0.8654759327927449,1024,64,0.004596354355345254,11,0.95,917.4647871901301,2.459763315205998,351.5983379501385
9,diff_waiting_time,0.000502296814336282,0.8079014463539937,1024,64,9.851781021729533e-08,17,0.95,3.173113608293046,8.033286831732646,32.29085872576177
10,diff_waiting_time,0.0008993768098554787,0.8131419597041809,1024,64,0.0014826748473624881,10,0.95,1.6727343963501975,8.587546359655676,22.094182825484765
11,diff_waiting_time,0.0001347846069574166,0.9298592871615577,1024,64,0.09752498342810673,10,0.95,62.84309997612962,6.248064363219997,78.78947368421052
12,diff_waiting_time,0.0002102534192142673,0.9372805454250401,1024,64,0.00011747275017181772,14,0.95,5.018013531730401,7.971321636564649,33.27146814404432
13,diff_waiting_time,0.0008925995202225501,0.8026203092708186,1024,64,1.2040137934961055e-08,15,0.95,2.0414745195542854,8.331404967870027,26.666204986149584
14,diff_waiting_time,9.379397153661398e-05,0.8046065554412142,1024,64,0.0003208751141573259,16,0.95,23.44323195470885,6.977541110375454,56.109418282548475
15,diff_waiting_time,0.00033671704111186185,0.8383907842769015,1024,64,1.0313037498594368e-08,12,0.95,2.360310105951041,8.320531248028228,27.177285318559555
16,diff_waiting_time,0.000995385628545846,0.8285035605722219,1024,64,0.0721117913851782,15,0.95,1.952999917629132,8.386416477108245,25.515235457063714
17,diff_waiting_time,0.0004321696610969999,0.8343886099884642,1024,64,0.08066221086030843,10,0.95,2.3210117993031876,8.369949303026013,25.70498614958449
18,diff_waiting_time,0.00021283334611675358,0.9008810161507632,1024,64,0.005076327855515054,12,0.95,12.219444231102457,7.5815489549162205,41.58310249307479
19,diff_waiting_time,1.1562612696882166e-05,0.8293682111062468,1024,64,0.017852280662520294,16,0.95,878.0303792339515,1.0759272036259666,940.1094182825485
20,diff_waiting_time,0.0005168713545670875,0.8908819670765336,1024,64,0.0008145772753102169,12,0.95,3.386748849647484,8.208455283913256,29.304709141274238
